"","id","text"
"1","1276151096713633792","https://t.co/doqHQyrTTk"
"2","1276151095367282690","Want to #win the long-awaited Apple iPhone SE2? @Gleamapp is giving away this amazing new upgrade to one lucky winn… https://t.co/eQc3uXpulo"
"3","1276151095103021056","RT @UnifyreWallet: $QNT @Quant_Network is now listed on Unifyre Wallet

Download Unifyre today and enjoy groundbreaking features like Link…"
"4","1276151094939435013","@APPLE_PIE_No6 「夏のボーナスフォロー＆リツイートキャンペーン」へのご応募ありがとうございます✨

抽選結果は動画の最後に発表📣
「爽やかサラダチキン無料クーポン」や「サブウェイ2.3ヶ月分」が当たるチャンス❗

期… https://t.co/8ijFbXwEXI"
"5","1276151093991538688","@CNBC How many Apple stores do you need in one area anyway!!"
"6","1276151093790232578","RT @LewLater: Apple is Copying Android - https://t.co/siHt7LpV0J https://t.co/dh6yEZNTnQ"
"7","1276151093781725193","RT @starwrsalliance: Star Wars Alliance Episode 2: A Kiss of Gratitude for News and The Clone Wars Season 7. @kgilstrap13 and @Wobblyboots8…"
"8","1276151093098135562","RT @charliekirk11: Dropping soon—my EXCLUSIVE conversation with @realDonaldTrump 

Don’t. Miss. This.

Subscribe HERE: https://t.co/Ru5OQ7Y…"
"9","1276151091982471170","RT @AstonshngLegnds: From my favorite science journalist Nadia Drake.  https://t.co/tU3Ioyl6u7"
"10","1276151091395256321","@YUJN_S おかー"
"11","1276151090623496195","luv whn my mom help me cut apple heheheheheh"
"12","1276151090480898058","@apple_mylover 열었습니다 https://t.co/xLzu54Y2oW"
"13","1276151090271195143","RT @subwayjp: 🎁🎁🎁🎁🎁🎁🎁🎁🎁🎁
2.3ヶ月分のサンドが当たる
🎁🎁🎁🎁🎁🎁🎁🎁🎁🎁

#夏のボーナス プレゼントキャンペーン
#爽やかサラダチキン 無料クーポン✨or
サンド2.3ヶ月分無料が当たる🎁

【応募方法】
フォロー&amp;RTで応募
フォロワーさんはRT…"
"14","1276151089453244423","RT @marisajonesxo: Over 100 listeners on my first episode, thank you guys🥺 Views From Venus now available on Apple Podcasts &amp; Spotify 💕 htt…"
"15","1276151086865428486","RT @THRihanna: ประสาทจะแดกแต่เช้า ล่าสุด FENTY แบรนด์เสื้อผ้าของ Rihanna ปล่อยเพลงลงบน Apple Music แต่อีเจ้าของแบรนด์ก็ยังไม่ปล่อยเหมือนเดิ…"
"16","1276151085649088514","@MrCharlieGill @jslreview lol I used to own an iPhone, glad I upgraded to Android. So many things you can do on And… https://t.co/UB6OnAsNz6"
"17","1276151084201975811","https://t.co/WF7IodwlJ7"
"18","1276151083543474181","RT @starfess: -bias Fandom apa aja yg liat ini boleh minta bantuannya ramein #.JusticeForGugudan #.SaveGugudan #.StayStrongGugudan &amp; tag @.…"
"19","1276151083224698880","RT @xbbangtn: BTS is nominated in male popularity award at SORIBADA AWARDS 2020. Please download CHOEAEDOL app to collect the heart for vot…"
"20","1276151082973085696","RT @russian_market: Apple - - Wirecard"
"21","1276151082327126016","https://t.co/tMrMOH1rKP"
"22","1276151082016804871","わかる〜〜〜僕は5年くらい前に「ボカロPになる！」って音楽理論の本とMIDIキーボード買ったけど結局何もかもめんどくさくなっちゃって
気づいたらこんなコスプレイヤーになってたよ…！！！"
"23","1276151081853169667","RT @mowuxian: ah yes, the grandmaster of demonic cultivation and his loyal steed lil apple https://t.co/sqAxTOqreb"
"24","1276151081807089675","RT @BrotherJesse: The Teachings 2.0 Podcast - EPISODE 3 is dropping soon!

Subscribe today:

Apple: https://t.co/8P3Uqf7mCn

Spotify: https…"
"25","1276151080536223744","RT @federic90396630: Gaga was ready to announce a radio series show with Apple Music but it was cancelled/postponed #Chromatica"
"26","1276151080280301571","RT @Nappyblaze: I got a notification this morning that says my Bible app needs an update. I think Adam has eaten another apple 😂"
"27","1276151079995129856","pelo amor de deus a apple precisa fazer um reconhecimento que desbloqueie o celular com a pessoa de máscara"
"28","1276151079177158659","RT @WWEXOL: In few minutes, we invite everyone to drop their collected 'daily ❤' on our #EXO Community post.

🔗https://t.co/UsWtMICsIt

Dow…"
"29","1276151079084986375","RT @JMindiafanbase: ""Filter"" iTunes:

#10 Saudi Arabia
#35 Oman
#681 United States

#지민 #JIMIN #Filter @BTS_twt
https://t.co/whWdyl8QsR"
"30","1276151078757810181","@GritzBrown I have an 11 but my bf told me Apple is installing a COVID exposure setting on all phone which is slowing them down"
"31","1276151077449207808","RT @NervedjsT: DOWNLOAD #TECHNORELAPSE2 @NervedjsT @bchpro @bchdjs  @bchpro @BCH4LIFE @BTeam4life @EDMDJSBEDROOMI1 @STACKUPVP @STACKUPVP ht…"
"32","1276151076681666561","RAW現像も含めて写真の管理にはAppleのApertureを使っていたのですが、無くなってからPicasaに移行したらほどなくPicasaもなくなってしまい、そして写真の管理もRAW現像もやらなくなってしまったのです。。"
"33","1276151075410776064","@apple_ringo_05 笑った"
"34","1276151074773237761","RT @KhushalMn: This battery icon 😓

Please don’t let the post Johny Ive era start with something like this! @Apple @JonyIveParody @MKBHD ht…"
"35","1276151074039234567","RT @Backintimepod: *New! We are back with a new teaser trailer episode! We are watching and discussing the trailer for Wayne’s World 2! Sch…"
"36","1276151073938563077","RT @UnifyreWallet: $QNT @Quant_Network is now listed on Unifyre Wallet

Download Unifyre today and enjoy groundbreaking features like Link…"
"37","1276151073850511362","ทำใจไม่ได้กับ Apple Watch  เศร้าแรง ใจห่อเหี่ยว รอยที่ไม่น่าจดจำ 😭"
"38","1276151071228952580","RT @RetiredMaybe: First, he praised President Xi’s response to the coronavirus pandemic. Now, he’s blaming China (again).

Health care repo…"
"39","1276151070658629633","Prior to trump, racists like this hid and muttered to themselves because they knew their views would get them in tr… https://t.co/x9IwbUr1BQ"
"40","1276151070000123906","RT @ThyMoonStone: My top amazing fans #mytopfans #StaySafe via https://t.co/xOUhrhuL6S Do you see yourself? @MangoSwirl13 @TStyle0 @Kyle773…"
"41","1276151069651976193","RT @_JQuon: Good morning android users, apple ppl keep looking out for them snakes"
"42","1276151069131911175","https://t.co/o65oxO736e"
"43","1276151068095889409","RT @BrightMinho: สรุปว่า YouTube ใน iOS 14 สามารถตั้งความละเอียด 4K ได้ใน iPhone 11 Pro Max 
คือนึกมาตลอดว่า YouTube มันกั๊กหรือเปล่าวะ ทำไ…"
"44","1276151067286306817","I spent 5 minutes working out with Apple Health. #LoseIt"
"45","1276151067101855746","@pagexs_ https://t.co/31SH5RR5Vr"
"46","1276151065742839814","RT @burningblossom: マッチングアプリOmiaiの紹介まんがを描かせてただきました！
異世界の住人とは出会えませんが、素敵な出会いがありますように…。
▼iOSはこちら
https://t.co/dqO9l9hDHT
▼Androidはこちら
https://…"
"47","1276151063712804864","@bruestasurtando kkkkkkkkkkk eu to vendo o 25 agorinha!"
"48","1276151063654158336","RT @NervedjsT: DOWNLOAD #TECHNORELAPSE2 @NervedjsT @bchpro @bchdjs  @bchpro @BCH4LIFE @BTeam4life @EDMDJSBEDROOMI1 @STACKUPVP @STACKUPVP ht…"
"49","1276151063507320841","RT @Reach4thePylon: Now that we are live I want to do a giveaway After I get to 1,000 followers on here I will be giving away an NFL jersey…"
"50","1276151063490502656","実は初めて聴いた
めちゃめちゃいい曲すぎて泣いた.............. https://t.co/rdN7Ea5uyH"
"51","1276151062987264006","歡迎來解答人生「末期」的謎題。　【黃昏旅店】  [Android]https://t.co/DjLau8ewVO  [iOS]https://t.co/qndnleL44q https://t.co/qzOOrruRIt"
"52","1276151062521618438","RT @Jali_Cat: 🙄Useles Christopher Wray reveals FBI 'looking carefully' at foreign interference in protests following George Floyd's death.…"
"53","1276151062253240322","Check out Apple iPod Touch 2nd Generation A1288  Black (16 GB) | Good Condition  #AppleiPod https://t.co/OqJTYwaw61 via @eBay"
"54","1276151061959540737","Apple butter on toast... https://t.co/PMu3cnPcYW"
"55","1276151060529373186","式部めぐり - can't take my eyes off you - Single - https://t.co/ZkOZjwv7fj #iTunes"
"56","1276151058830688265","@momon_913 Oh…Appleや…(Android勢)"
"57","1276151058188951554","医療画像市場における人工知能に関する新しいレポートテクノロジーの成長と進歩2020- Google Inc.、Cisco、IBM Corp.、Microsoft Corp.、Apple | CAGR 37％ - ラベルオンライン https://t.co/1RrkCQQIrb"
"58","1276151056938999808","https://t.co/bRAC9S5aPh"
"59","1276151056267972612","The way I got clowned for trying to be nice on Michaels day sjsjsjsjsjsj LMFAAOAOAOAOOOOO the girls didn’t buy the “apple head” one BIT 😭😭😭"
"60","1276151056083431425","RT @meychan_info: 【お知らせ㊗️🎊】

ボーカルで参加させていただいた、くじらさんの楽曲「夜桜 feat.めいちゃん」がApple Musicブレイキング：J-Popのプレイリストに…🎧🎉

もっともっとたくさんの人に届きますように🔻
https://t.co…"
"61","1276151055869501443","https://t.co/knsRweUNWC"
"62","1276151055299084289","cant Rest knowing i swallowed 2-3 apple seeds earlier solidifying my fate.. an apple tree is going 2 grow inside of… https://t.co/J18nfBSVB1"
"63","1276151054850236417","RT @Reach4thePylon: Now that we are live I want to do a giveaway After I get to 1,000 followers on here I will be giving away an NFL jersey…"
"64","1276151053638144000","I've never fallen from quite this high //  https://t.co/tmsk8nlIVe"
